,Location,Latitude,Longitude
0," Indiranagar, Bangalore",12.9732913,77.6404672
1," Ulsoor, Bangalore",12.9778793,77.6246697
2," Jeevan Bhima Nagar, Bangalore",12.9678074,77.6568367
3," Thippasandra, Bangalore",12.973936,77.6509982
4," Brigade Road, Bangalore",12.9736132,77.6074716
5," Old Madras Road, Bangalore",13.0180639,77.7061087
6," Frazer Town, Bangalore",12.996845,77.6130165
7," KR Puram, Bangalore",13.007516,77.695935
8," Marathahalli, Bangalore",12.9552572,77.6984163
9," Shanti Nagar, Bangalore",12.9575547,77.5979099
10," Richmond Road, Bangalore",12.965297,77.600367
11," CV Raman Nagar, Bangalore",12.9856596,77.6638971
12," Near HSR, Bangalore",12.9139248,77.6402199
13," Domlur, Bangalore",12.9624669,77.6381958
14," HSR, Bangalore",12.9116225,77.6388622
15," Kalyan Nagar, Bangalore",13.0221416,77.6403368
16," Kammanahalli, Bangalore",13.0093455,77.6377094
17," Shivajinagar, Bangalore",12.986391,77.6075416
18," Koramangala 1st Block, Bangalore",12.9277245,77.6327822
19," Brookefield, Bangalore",12.9668213,77.7168891
20," Koramangala 6th Block, Bangalore",12.9390255,77.6238477
21," Hal 2nd Stage Indiranagar, Bangalore",12.9699181,77.6413837
22," Whitefield, Bangalore",12.9696365,77.7497448
23," MG Road, Bangalore",12.9755264,77.6067902
24," Koramangala 3rd Block, Bangalore",12.9282918,77.6254034
25," Majestic, Bangalore",12.9757079,77.5728757
26," Kaggadasapura, Bangalore",12.9846713,77.6790908
27," Church Street, Bangalore",12.9755105,77.6026774
28," Ejipura, Bangalore",12.945245,77.6269144
29,"  Domlur, Bangalore",12.9624669,77.6381958
30," Infantry Road, Bangalore",12.9830857,77.5961802
31," Banaswadi, Bangalore",13.0141618,77.6518539
32," Koramangala 5th Block, Bangalore",12.9348429,77.6189768
33," New Thippasandra, Bangalore",12.9736956,77.6536931
34," Koramangala 7th Block, Bangalore",12.9364846,77.6134783
35," Commercial Street, Bangalore",12.9822323,77.6082954
36," BTM, Bangalore",12.911275849999999,77.60456543431182
37," Cunningham Road, Bangalore",12.9845781,77.5970428
38," Koramangala 4th Block, Bangalore",12.9327778,77.6294052
39," Race Course Road, Bangalore",12.983903,77.5782508
40," Ashok Nagar, Bangalore",12.9694359,77.6092319
41," Vasanth Nagar, Bangalore",12.988721250000001,77.58516877601824
42," Koramangala 8th Block, Bangalore",12.9408685,77.617338
43," Indira Nagar, Bangalore",12.9732913,77.6404672
44," RT Nagar, Bangalore",13.0227204,77.595715
45," HBR Layout, Bangalore",13.0358698,77.6323597
46," Richmond Town, Bangalore",12.9626925,77.6041603
47," Yeshwantpur, Bangalore",13.02383,77.5529215
48," Bellandur, Bangalore",12.93103185,77.6782471
49," bangalore, mahadevpura",12.99678075,77.692813
50," Sarjapur Road, Bangalore",12.920441,77.6653284
51," Marathahalli, Bengaluru",12.9552572,77.6984163
52," Bellandur, Bangalore.",12.93103185,77.6782471
53," Varthur Main Road, Whitefield",12.9413238,77.7471103
54," Bommanahalli, Bangalore",12.9089453,77.6239038
55," Yelahanka, Bangalore",13.1006982,77.5963454
56," Hosur Road, Bangalore",12.9212213,77.6201362
57," Kadugodi, Bangalore",12.9985767,77.7609716
58," Whitefield, Bangalore.",12.9696365,77.7497448
59," Main Road, Whitefield",12.9705356,77.7499623
60," Whitefield, Bengaluru",12.9696365,77.7497448
61," Sri Rama PG, Bangalore",12.9587993,77.7216549
62," Karnataka, Bangalore",12.9767936,77.590082
63," AECS Layout, Bangalore Mahadevapura",12.964118,77.7130369
64," Brookfield, Bangalore",12.965899,77.7179157
65," Hoodi Whitefield, Bangalore",12.98716705,77.72306072806555
66," Marathahalli, Karnataka",12.9552572,77.6984163
67," Mahadevapura, Karnataka",12.9934976,77.6924156
68," Jayanagar, Bangalore",12.9292731,77.5824229
69," Bannerghatta Road, Bangalore",12.8799708,77.5957843
70," JP Nagar, Bangalore",12.8803576,77.5796579
71," Basavanagudi, Bangalore",12.9417261,77.5755021
72," 6th Block, Bangalore",13.00783435,77.54718817933144
73," Langford Town, Bangalore",12.957998,77.6037312
74," Tavarekere BTM, Bangalore",12.9199038,77.6087264
75," Koramangala 2nd Block, Bangalore",12.9243692,77.6242433
76," City Market, Bangalore",12.965717999999999,77.5762705372058
77," Near MG Road, Bangalore",12.9759067,77.602415
78," HSR, Bangalore.",12.9116225,77.6388622
79," BTM, Bengaluru",12.911275849999999,77.60456543431182
80," Electronic City, Bangalore",12.848759900000001,77.64825295827616
81," Near Sarjapur Road, Bangalore",12.9252152,77.6338719
82," Banashankari, Bangalore",12.9152208,77.573598
83," Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
84," 4th Block Jayanagar, Bangalore",12.9256349,77.58335377716196
85," Kanakapura Road, Bangalore",12.8799448,77.545857
86," Phase 7th JP Nagar, Bangalore",12.9163386,77.578242
87," Seshadripuram, Bangalore",12.9931876,77.5753419
88," Uttarahalli, Bangalore",12.9055682,77.5455438
89," Vijay Nagar, Bangalore",12.965913650000001,77.61269701826657
90," 7th Phase JP Nagar, Bangalore",12.9113128,77.5956471
91," Malleshwaram, Bangalore",13.0027353,77.5703253
92," Rajajinagar, Bangalore",12.9882338,77.554883
93," Adugodi, Bengaluru Karnataka",12.9428472,77.6104155
94," Near Koramangala 7th Block, Bangalore",12.9252152,77.6338719
95," Puttenahalli JP Nagar, Bangalore",12.8970133,77.5860475
96," Padmanabhanagar Kumaraswamy Layout, Bangalore",12.91814255,77.55767110316643
97," 7th Cross Koramangala 2nd Block, Bangalore",12.9241087,77.618833
98," Rajarajeshwari Nagar, Bangalore",12.9274413,77.5155224
99," Mahadevapura Sarjapur Road, Bangalore",12.91916145,77.66504602801723
100," Bommasandra, Bangalore",12.8162443,77.6916113
101," Sarjapura Road, Bangalore",12.929747,77.615241
102," Nagawara, Bangalore",13.0431413,77.6209093
103," New BEL Road, Bangalore",13.0397951,77.5637607
104," Near Basaveshwara Nagar, Bangalore",12.991912,77.5386905
105," Nagarbhavi, Bangalore",12.9841958,77.51919296908994
106,"Brigade Road, Bangalore",12.9736132,77.6074716
107," Basaveshwara Nagar, Bangalore",12.9933829,77.5389467
108," Frazer town, Bengaluru",12.996845,77.6130165
109," Hebbal, Bangalore",13.0382184,77.5919
110," Sahakara Nagar, Bangalore",13.0621474,77.58006135480495
111," Sankey Road, Bangalore",12.9976332,77.5844364
112," Rajajinagar, Bangalore.",12.9882338,77.554883
113," Sanjay Nagar, Bangalore",12.9578658,77.6958748
114," Hebbal, Bangalore.",13.0382184,77.5919
115," Jalahalli, Bangalore",13.0464531,77.5483803
116," Magadi Road, Bangalore",12.975608,77.5553564
117," Hebbala, Bangalore",13.0413885,77.5890568
118," New Bel Road, Bangalore",13.0397951,77.5637607
119," Shivaji Nagar Commercial Street, Bangalore",12.9841869,77.6032173
120," Bangalore, Bengaluru",12.9767936,77.590082
121," Yeshwanthpura, Bengaluru",13.02560935,77.55410684919815
122," Hennur, Bangalore",13.0258087,77.6305067
123," Kalyan Nagar, Bengaluru",13.0221416,77.6403368
124," Jakkur, Bangalore",13.0784743,77.6068938
125," HRBR Layout Kalyan Nagar, Bangalore",13.0210831,77.6431757
126," Karnataka, Bengaluru",12.9767936,77.590082
127," Kammanahalli, Bangalore~",13.0093455,77.6377094
128," 3rd Block Kammanahalli, Bangalore",13.0093455,77.6377094
129," Kammanahalli Kammanahalli, Bangalore",13.0178488,77.6364588
130," Akshaya Nagar, Bangalore",13.0195427,77.6831272
131," Bommasandra, Bengaluru",12.8162443,77.6916113
132," Phase-2 Electronic City, Bangalore",12.8371576,77.6725236
133," Konappana Agrahara Electronic City, Bangalore",12.8528618,77.668169
134," Doddathoguru Electronic City, Bangalore",12.8529125,77.6556155
135," Electronic City Phase 1, Bangalore",12.8496783,77.6649749
136,"  Electronic City, Bangalore",12.848759900000001,77.64825295827616
137," Bannerghatta Road, Bangalore.",12.8799708,77.5957843
138," Bangalore Urban, Karnataka",12.94514225,77.55364499971128
139," Bangalore, Karnataka",12.9767936,77.590082
140," 80 Feet Road, Bangalore",12.9817739,77.6459679
141," Mysore Road, Bangalore",12.9467026,77.5300705
142," Near Rajarajeshwari Nagar, Bangalore",13.014352299999999,77.55428150069042
143," Rajajinagar,Bangalore",12.9882338,77.554883
144," Nagarabhavi, Bangalore",12.9664182,77.5130777
145," Vyalikaval Malleshwaram, Bangalore",13.0046822,77.5785581
146," Mahadevapura Marathahalli, Bangalore",12.9462698,77.6801303
147," Main road Whitefield, Bangalore",12.9568545,77.7455109
148," Frazer Town, Bangalore.",12.996845,77.6130165
